"FECHA DE ATENCIÓN","SERVICIO DE ATENCIÓN","N° DE RECETAS","N° PRESCRIPCIONES","Controlados (Receta Blanca)","Controlados (Receta verde)","TIPO DE ATENCIÓN","ÁREA"
"3-05-2024","HODOM","1","1","0","","ATENCIÓN CERRADA","Farmacia de Atención Abierta"
"3-05-2024","C. Paliativos","1","1","0","","ATENCIÓN CERRADA","Farmacia de Atención Abierta"
"3-05-2024","Recuperación","2","5","0","","ATENCIÓN CERRADA","Farmacia de Atención Abierta"
"3-05-2024","Endoscopía","4","4","4","","ATENCIÓN CERRADA","Farmacia de Atención Abierta"
"3-05-2024","Controlados","18","18","0","","ATENCIÓN ABIERTA","Farmacia de Atención Abierta"
"3-05-2024","Pabellón","5","40","8","","ATENCIÓN CERRADA","Farmacia de Atención Abierta"
"3-05-2024","Pediatria","8","47","1","","ATENCIÓN CERRADA","Farmacia de Atención Abierta"
"3-05-2024","Alta","13","44","1","","ATENCIÓN CERRADA","Farmacia de Atención Abierta"
"3-05-2024","Mater","20","65","0","","ATENCIÓN CERRADA","Farmacia de Atención Abierta"
"3-05-2024","UPC UTI (4-12)","11","73","1","","ATENCIÓN CERRADA","Farmacia de Atención Abierta"
"3-05-2024","Medicina","33","217","3","","ATENCIÓN CERRADA","Farmacia de Atención Abierta"
"3-05-2024","Pabellón","1","1","0","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"3-05-2024","Med. General Policlínico Morbilidad (1 mes o menos)","1","1","0","","ATENCIÓN ABIERTA","Farmacia de Atención Cerrada"
"3-05-2024","Alta","1","3","0","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"3-05-2024","Pediatria","2","3","0","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"3-05-2024","Mater","4","7","0","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"3-05-2024","Medicina","12","18","0","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"3-05-2024","Urgencia","117","278","0","","ATENCIÓN DE URGENCIA","Farmacia de Atención Cerrada"
"3-05-2024","Pabellón","1","1","0","","ATENCIÓN CERRADA","Farmacia de Urgencia"
"3-05-2024","Med. General Policlínico Morbilidad (1 mes o menos)","1","1","0","","ATENCIÓN ABIERTA","Farmacia de Urgencia"
"3-05-2024","Alta","1","3","0","","ATENCIÓN CERRADA","Farmacia de Urgencia"
"3-05-2024","Pediatria","2","3","0","","ATENCIÓN CERRADA","Farmacia de Urgencia"
"3-05-2024","Mater","4","7","0","","ATENCIÓN CERRADA","Farmacia de Urgencia"
"3-05-2024","Medicina","12","18","0","","ATENCIÓN CERRADA","Farmacia de Urgencia"
"3-05-2024","Urgencia","117","278","0","","ATENCIÓN DE URGENCIA","Farmacia de Urgencia"
"4-05-2024","Medicina","0","0","1","","ATENCIÓN CERRADA","Farmacia de Atención Abierta"
"4-05-2024","Urgencia","0","0","1","","ATENCIÓN DE URGENCIA","Farmacia de Atención Abierta"
"4-05-2024","Controlados","2","2","0","","ATENCIÓN ABIERTA","Farmacia de Atención Abierta"
"4-05-2024","HODOM","1","1","0","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"4-05-2024","Pediatria","2","3","0","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"4-05-2024","Pabellón","2","5","0","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"4-05-2024","Alta","2","6","0","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"4-05-2024","Medicina","10","25","0","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"4-05-2024","Mater","17","56","0","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"4-05-2024","UPC UTI (4-12)","11","65","0","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"4-05-2024","Mater","1","4","0","","ATENCIÓN CERRADA","Farmacia de Urgencia"
"4-05-2024","Pediatria","2","4","0","","ATENCIÓN CERRADA","Farmacia de Urgencia"
"4-05-2024","Pabellón","2","15","0","","ATENCIÓN CERRADA","Farmacia de Urgencia"
"4-05-2024","Medicina","10","23","0","","ATENCIÓN CERRADA","Farmacia de Urgencia"
"4-05-2024","Urgencia","204","313","0","","ATENCIÓN DE URGENCIA","Farmacia de Urgencia"
"5-05-2024","Medicina","0","0","2","","ATENCIÓN CERRADA","Farmacia de Atención Abierta"
"5-05-2024","Urgencia","0","0","3","","ATENCIÓN DE URGENCIA","Farmacia de Atención Abierta"
